ITZ_GEOID,pop_density,percent_non_hispanic_or_latino_white_alone,percent_non_hispanic_black_alone,percent_hispanic_any_race,percent_non_hispanic_asian_alone,median_age,per_capita_income,resid_unit_density,percent_multi_family_units,percent_occupied_housing_units,median_gross_rent,median_home_value,percent_households_with_people_under_18,percent_of_households_in_same_house_year_ago,percent_bachelor_degree_or_higher,percent_car_commuters,percent_public_transport_commuters,percent_public_transport_trips_under_45_min,percent_car_trips_under_45_min
SI170.05,36762.85333968343,80.3,0.6,6.6,12.5,43.2,40611.0,12759.887500574518,28.8,95.8,1160.0,622800.0,36.5,96.6,38.9,67.9777512912197,23.71871275327771,1.9095477386934674,7.527761542957334
SI291.02,3504.924645571275,52.6,1.7,25.1,20.5,39.1,37801.0,1272.0801025676185,11.600000000000001,96.0,2039.0,507900.0,48.5,97.2,29.3,81.61971830985915,15.633802816901408,11.35135135135135,11.164797238999135
SI319.01,78111.51071628749,14.7,44.7,33.2,7.4,28.7,17313.0,33258.41667216929,68.3,87.7,351.0,288500.0,34.8,98.2,16.7,44.845908607863976,31.668437832093517,15.436241610738255,31.066350710900473
SI319.02,83285.77107318772,10.5,52.2,32.1,3.0,28.1,23975.0,28931.01087625611,49.9,88.4,761.0,328200.0,55.2,95.3,27.2,55.767301905717154,41.123370110330995,3.341463414634146,11.771582733812949
SI323,2991.7820504954016,17.3,38.2,42.2,1.5,45.8,33175.0,1410.8496901683811,59.9,89.1,1621.0,267000.0,30.6,98.6,19.5,57.142857142857146,38.59275053304904,10.718232044198894,41.64179104477612
SI132.03,60003.97270944375,81.4,4.9,10.5,2.7,43.4,38114.0,22843.195056606182,38.2,91.9,1476.0,552900.0,36.8,94.3,46.6,68.12191103789127,24.71169686985173,1.4499999999999997,8.391777509068925
SI170.07,41013.16110504068,62.0,3.5,21.6,11.6,35.9,31028.0,14506.548059868364,14.100000000000009,93.4,1196.0,381400.0,52.3,90.0,31.2,71.39470564994073,27.18293164757013,1.2790697674418607,6.568898727172108
SI291.04,50549.39961125774,61.7,4.4,21.0,11.1,40.0,34883.0,16915.064000502483,29.700000000000003,95.9,1704.0,495900.0,34.6,95.8,30.9,69.46872898453262,28.98453261600538,0.7308584686774942,5.517909002904163
SI291.03,43782.776872385744,65.8,1.8,17.3,11.3,38.7,38728.0,14370.030686520991,46.300000000000004,97.0,1186.0,593200.0,33.6,95.3,33.4,63.03146769156858,33.1731924093202,1.0861694424330195,4.173018292682927
SI146.04,65460.418547276546,80.7,0.2,7.7,8.3,43.8,42214.0,25913.40192419133,32.8,92.8,1849.0,525000.0,33.3,92.8,32.7,73.10137169621947,22.883907661425226,2.6315789473684212,4.988558352402747
SI170.09,44919.90276402728,86.9,0.0,6.7,4.2,44.7,46754.0,16655.9193526371,31.0,93.7,1365.0,704400.0,39.4,91.4,33.3,80.0,12.167101827676241,0.0,6.618798955613577
SI228,25.641231838379518,78.3,21.7,0.0,0.0,31.3,86743.0,10.033525501974594,100.0,100.0,,,0.0,100.0,82.6,100.0,0.0,,676.8421052631579
SI244.01,31903.0397356627,83.2,0.0,10.7,3.9,42.1,44128.0,11054.393023371886,34.8,97.8,1202.0,700100.0,36.6,97.1,36.3,79.7090909090909,17.454545454545453,1.1666666666666667,4.762773722627737
SI244.02,23854.383121829105,90.0,0.9,5.3,3.8,43.1,52407.0,9474.922170848526,26.4,95.8,1183.0,705100.0,32.2,95.7,47.1,77.96432318992655,19.15005246589717,2.1095890410958904,5.881561238223418
SI277.05,117636.70531101363,59.0,2.5,8.5,25.6,39.6,39827.0,40197.77242939612,33.2,93.1,1783.0,547200.0,36.4,91.7,34.8,63.77449020391843,24.150339864054377,1.9370860927152318,8.106583072100314
SI277.06,85618.33375259029,58.4,7.2,13.6,17.6,37.2,38184.0,28932.076667900245,42.800000000000004,94.7,1584.0,560300.0,30.0,95.2,40.1,63.51791530944625,25.60260586319218,0.0,11.95897435897436
SI9901,,,,,,,,,,,,,,,,,,,
SI67,27941.241461740785,84.5,2.5,6.4,4.9,44.2,66906.0,14163.084711765689,44.0,81.7,1202.0,622600.0,24.4,94.3,55.6,62.5,21.64804469273743,3.3225806451612905,20.05586592178771
SI181,6315.065577220929,83.3,1.4,4.4,9.9,52.7,62687.0,2350.320641996791,25.4,89.6,377.0,781900.0,25.1,96.9,41.3,69.28270042194093,14.683544303797468,13.563218390804598,13.422655298416565
SI198,13714.199284277533,82.1,1.3,11.7,3.5,42.6,51739.0,4525.130533071331,32.7,94.8,1295.0,720100.0,37.5,95.5,33.0,70.10335265944039,24.50214267708596,0.6790123456790124,3.4627831715210364
SI128.05,27837.10977945687,79.6,0.8,14.0,5.5,41.3,33449.0,10450.937951750026,32.6,88.8,1432.0,472300.0,39.5,95.9,22.7,62.250598563447724,33.83878691141261,3.8443396226415096,15.6025641025641
SI128.06,44418.96535653403,60.4,6.6,14.4,10.1,46.0,29488.0,19382.821246487576,57.50000000000001,95.7,1316.0,441500.0,24.9,95.9,15.0,60.142067876874506,32.202052091554854,3.406862745098039,10.636482939632547
SI146.07,72967.22363263337,81.6,1.1,5.3,9.9,44.8,40162.0,27023.72290154472,39.800000000000004,100.0,1787.0,514200.0,30.3,94.6,33.9,68.03044719314939,29.305423406279733,2.3051948051948052,10.622377622377622
SI146.08,83423.68274513276,82.1,0.0,13.9,2.6,40.1,39219.0,30615.075980094734,19.400000000000006,85.0,2031.0,488600.0,47.4,94.2,35.9,66.6866028708134,29.24641148325359,1.9427402862985685,12.609865470852018
SI170.11,72792.31045155186,84.0,0.0,13.3,1.4,41.9,42190.0,27740.378947004556,36.1,96.5,1324.0,546800.0,35.3,95.6,34.9,69.74977658623772,27.301161751563896,3.911620294599018,8.500960922485586
SI170.12,46313.37667247249,78.2,1.1,14.1,5.2,43.6,40798.0,18939.073496935638,28.299999999999997,95.1,995.0,543500.0,26.4,95.4,34.5,76.1307901907357,18.85558583106267,6.416184971098267,8.954903364352184
MN271,492259.32917633024,33.7,2.0,61.3,2.9,37.8,30887.0,173850.38766050272,97.7,95.0,1463.0,396200.0,26.9,83.5,44.3,12.598944591029024,67.43623570800352,1.3465927616563418,18.01047120418848
MN129,221951.3671491699,54.7,3.1,19.3,20.8,35.3,87103.0,160290.82688021119,99.4,83.5,2422.0,998700.0,8.6,70.7,78.0,5.162044771132643,38.75709989976612,3.193965517241379,58.80258899676375
MN144.01,683615.9954637603,81.6,0.0,6.5,9.7,47.6,136546.0,419004.4650162412,98.5,85.6,2215.0,957300.0,16.4,89.7,85.8,7.783105864994467,62.633714496495756,3.951707891637221,70.94786729857819
MN99,63924.9531848239,63.8,5.5,12.2,15.6,33.0,141485.0,42281.744657944044,99.3,90.3,3392.0,1542900.0,9.3,73.6,79.9,8.787267428827617,42.12060076216095,4.230973922299095,36.607142857142854
